flavors,vm !=1(trap),vm==0时vd==0(trap),vstart !=0(trap),不支持的sew,,,,不支持的lmul,,,,,,,reg index对齐,,,,,,,,,,,,,,,,,,,,,if(lmul<1) overlap($); else overlap_widen($),,"if($<1) overlap(vd,lmul,vs2,$); else overlap_widen((vd,lmul,vs2,$)",,,reg index不相等,,,,,其他,,,,,index load,1/8 <= emul <=8(emul=lmul*eew/sew),,no_constraint,instr,match,mask,has_vs2,has_vs1,is_ready
,,,,8,16,32,64,1/8,1/4,1/2,1,2,4,8,"align(vd,lmul)","align(vd,lmul*2)","align(vd,emul)","align(vs2,lmul)","align(vs2,emul)","align(vs2,lmul*2)","align(vs2,lmul/2)","align(vs2,lmul/4)","align(vs2,lmul/8)","align(vs1,lmul)","align(vs1,emul)","align(vd,2)","align(vd,4)","align(vd,8)","align(vs2,2)","align(vs2,4)","align(vs2,8)","align(vs3,2)","align(vs3,4)","align(vs3,8)","align(vs3,nfield)","(vd, lmul*2, vs2, lmul)","(vd, lmul*2, vs1, lmul)",lmul/2,lmul/4,lmul/8,vd != vs2,vd != vs2 && vd != vs1,"if(vd != vs2)overlap(vd,1,vs2,lmul)","if(vd != vs2)overlap(vd,1,vs2,lmul*2)","if(vd != vs1)overlap(vd,1,vs1,lmul)",vm==0 && vd==0 && lmul>1(trap),"overlap(vd,lmul,vs2,1)","overlap(vd,lmul,vs1,1)","overlap(vd,lmul,vs1,emul)",(nf*emul <= 8) && (vd+nf*emul <= 32),所有约束,eew=16,eew=width,134,instr,match,mask,,,
"vfwmsac.vf vd, vs1, rs2, vm",,1,,1,,,1,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,5,vfwmsac.vf,0xf8005057,0xfc00707f,0,1,
"vfwnmsac.vv vd, vs1, vs2, vm",,1,,1,,,1,,,,,,,1,,1,,1,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,7,vfwnmsac.vv,0xfc001057,0xfc00707f,1,1,
"vfwnmsac.vf vd, vs1, rs2, vm",,1,,1,,,1,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,5,vfwnmsac.vf,0xfc005057,0xfc00707f,0,1,
"vfsqrt.v vd, vs2, vm",,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vfsqrt.v,0x4c001057,0xfc0ff07f,1,0,
"vfrsqrt7.v vd, vs2, vm",,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vfrsqrt7.v,0x4c021057,0xfc0ff07f,1,0,
"vfrec7.v vd, vs2, vm",,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vfrec7.v,0x4c029057,0xfc0ff07f,1,0,
"vfmin.vv vd, vs2, vs1, vm",,1,,1,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,vfmin.vv,0x10001057,0xfc00707f,1,1,
"vfmin.vf vd, vs2, vs1, vm",,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vfmin.vf,0x10005057,0xfc00707f,1,1,
"vfmax.vv vd, vs2, vs1, vm",,1,,1,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,vfmax.vv,0x18001057,0xfc00707f,1,1,
"vfmax.vf vd, vs2, vs1, vm",,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vfmax.vf,0x18005057,0xfc00707f,1,1,
"vfsgnj.vv vd, vs2, vs1, vm",,1,,1,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,vfsgnj.vv,0x20001057,0xfc00707f,1,1,
"vfsgnj.vf vd, vs2, vs1, vm",,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vfsgnj.vf,0x20005057,0xfc00707f,1,1,
"vfsgnjn.vv vd, vs2, vs1, vm",,1,,1,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,vfsgnjn.vv,0x24001057,0xfc00707f,1,1,
"vfsgnjn.vf vd, vs2, vs1, vm",,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vfsgnjn.vf,0x24005057,0xfc00707f,1,1,
"vfsgnjx.vv vd, vs2, vs1, vm",,1,,1,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,vfsgnjx.vv,0x28001057,0xfc00707f,1,1,
"vfsgnjx.vf vd, vs2, vs1, vm",,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vfsgnjx.vf,0x28005057,0xfc00707f,1,1,
"vmfeq.vv vd, vs2, vs1, vm",,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,4,vmfeq.vv,0x60001057,0xfc00707f,1,1,
"vmfeq.vf vd, vs2, vs1, vm",,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,vmfeq.vf,0x60005057,0xfc00707f,1,1,
"vmfne.vv vd, vs2, vs1, vm",,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,4,vmfne.vv,0x70001057,0xfc00707f,1,1,
"vmfne.vf vd, vs2, vs1, vm",,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,vmfne.vf,0x70005057,0xfc00707f,1,1,
"vmflt.vv vd, vs2, vs1, vm",,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,4,vmflt.vv,0x6c001057,0xfc00707f,1,1,
"vmflt.vf vd, vs2, vs1, vm",,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,vmflt.vf,0x6c005057,0xfc00707f,1,1,
"vmfle.vv vd, vs2, vs1, vm",,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,4,vmfle.vv,0x64001057,0xfc00707f,1,1,
"vmfle.vf vd, vs2, vs1, vm",,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,vmfle.vf,0x64005057,0xfc00707f,1,1,
"vmfgt.vf vd, vs2, vs1, vm",,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,vmfgt.vf,0x74005057,0xfc00707f,1,1,
"vmfge.vf vd, vs2, vs1, vm",,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,vmfge.vf,0x7c005057,0xfc00707f,1,1,
"vfclass.v vd, vs2, vm",,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vfclass.v,0x4c081057,0xfc0ff07f,1,0,
"vfmerge.vfm vd, vs2, rs1, v0",,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vfmerge.vfm,0x5c005057,0xfe00707f,1,0,
"vfmv.v.f vd, rs1",,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vfmv.v.f,0x5e005057,0xfff0707f,0,0,
"vfcvt.xu.f.v vd, vs2, vm",,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,vfcvt.xu.f.v,0x48001057,0xfc0ff07f,1,0,
"vfcvt.x.f.v vd, vs2, vm",,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,vfcvt.x.f.v,0x48009057,0xfc0ff07f,1,0,
"vfcvt.rtz.xu.f.v vd, vs2, vm",,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,vfcvt.rtz.xu.f.v,0x48031057,0xfc0ff07f,1,0,
"vfcvt.rtz.x.f.v vd, vs2, vm",,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,vfcvt.rtz.x.f.v,0x48039057,0xfc0ff07f,1,0,
"vfcvt.f.xu.v vd, vs2, vm",,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,vfcvt.f.xu.v,0x48011057,0xfc0ff07f,1,0,
"vfcvt.f.x.v vd, vs2, vm",,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,vfcvt.f.x.v,0x48019057,0xfc0ff07f,1,0,
"vfwcvt.xu.f.v vd, vs2, vm",,1,,1,,,1,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,6,vfwcvt.xu.f.v,0x48041057,0xfc0ff07f,1,0,
"vfwcvt.x.f.v vd, vs2, vm",,1,,1,,,1,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,6,vfwcvt.x.f.v,0x48049057,0xfc0ff07f,1,0,
"vfwcvt.rtz.xu.f.v vd, vs2, vm",,1,,1,,,1,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,6,vfwcvt.rtz.xu.f.v,0x48071057,0xfc0ff07f,1,0,
"vfwcvt.rtz.x.f.v vd, vs2, vm",,1,,1,,,1,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,6,vfwcvt.rtz.x.f.v,0x48079057,0xfc0ff07f,1,0,
"vfwcvt.f.xu.v vd, vs2, vm",,1,,,,,1,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,5,vfwcvt.f.xu.v,0x48051057,0xfc0ff07f,1,0,
"vfwcvt.f.x.v vd, vs2, vm",,1,,,,,1,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,5,vfwcvt.f.x.v,0x48059057,0xfc0ff07f,1,0,
"vfwcvt.f.f.v vd, vs2, vm",,1,,1,,,1,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,6,vfwcvt.f.f.v,0x48061057,0xfc0ff07f,1,0,
"vfncvt.xu.f.w vd, vs2, vm",,1,,,,,1,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,5,vfncvt.xu.f.w,0x48081057,0xfc0ff07f,1,0,
"vfncvt.x.f.w vd, vs2, vm",,1,,,,,1,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,5,vfncvt.x.f.w,0x48089057,0xfc0ff07f,1,0,
"vfncvt.rtz.xu.f.w vd, vs2, vm",,1,,,,,1,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,5,vfncvt.rtz.xu.f.w,0x480b1057,0xfc0ff07f,1,0,
"vfncvt.rtz.x.f.w vd, vs2, vm",,1,,,,,1,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,5,vfncvt.rtz.x.f.w,0x480b9057,0xfc0ff07f,1,0,
"vfncvt.f.xu.w vd, vs2, vm",,1,,1,,,1,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,6,vfncvt.f.xu.w,0x48091057,0xfc0ff07f,1,0,
"vfncvt.f.x.w vd, vs2, vm",,1,,1,,,1,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,6,vfncvt.f.x.w,0x48099057,0xfc0ff07f,1,0,
"vfncvt.f.f.w vd, vs2, vm",,1,,1,,,1,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,6,vfncvt.f.f.w,0x480a1057,0xfc0ff07f,1,0,
"vfncvt.rod.f.f.w vd, vs2, vm",,1,,1,,,1,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,6,vfncvt.rod.f.f.w,0x480a9057,0xfc0ff07f,1,0,
"vredsum.vs vd, vs2, vs1, vm # vd[0] = sum( vs1[0] , vs2[*] )",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vredsum.vs,0x2057,0xfc00707f,1,1,
"vredmaxu.vs vd, vs2, vs1, vm # vd[0] = maxu( vs1[0] , vs2[*] )",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vredmaxu.vs,0x18002057,0xfc00707f,1,1,
"vredmax.vs vd, vs2, vs1, vm # vd[0] = max( vs1[0] , vs2[*] )",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vredmax.vs,0x1c002057,0xfc00707f,1,1,
"vredminu.vs vd, vs2, vs1, vm # vd[0] = minu( vs1[0] , vs2[*] )",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vredminu.vs,0x10002057,0xfc00707f,1,1,
"vredmin.vs vd, vs2, vs1, vm # vd[0] = min( vs1[0] , vs2[*] )",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vredmin.vs,0x14002057,0xfc00707f,1,1,
"vredand.vs vd, vs2, vs1, vm # vd[0] = and( vs1[0] , vs2[*] )",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vredand.vs,0x4002057,0xfc00707f,1,1,
"vredor.vs vd, vs2, vs1, vm # vd[0] = or( vs1[0] , vs2[*] )",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vredor.vs,0x8002057,0xfc00707f,1,1,
"vredxor.vs vd, vs2, vs1, vm # vd[0] = xor( vs1[0] , vs2[*] )",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vredxor.vs,0xc002057,0xfc00707f,1,1,
"vwredsumu.vs vd, vs2, vs1, vm # 2*SEW = 2*SEW + sum(zero-extend(SEW))",,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vwredsumu.vs,0xc0000057,0xfc00707f,1,1,
"vwredsum.vs vd, vs2, vs1, vm # 2*SEW = 2*SEW + sum(sign-extend(SEW))",,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vwredsum.vs,0xc4000057,0xfc00707f,1,1,
"vfredosum.vs vd, vs2, vs1, vm # Ordered sum",,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vfredosum.vs,0xc001057,0xfc00707f,1,1,
"vfredusum.vs vd, vs2, vs1, vm # Unordered sum",,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vfredusum.vs,0x4001057,0xfc00707f,1,1,
"vfredmax.vs vd, vs2, vs1, vm # Maximum value",,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vfredmax.vs,0x1c001057,0xfc00707f,1,1,
"vfredmin.vs vd, vs2, vs1, vm # Minimum value",,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vfredmin.vs,0x14001057,0xfc00707f,1,1,
"vfwredosum.vs vd, vs2, vs1, vm # Ordered sum",,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,vfwredosum.vs,0xcc001057,0xfc00707f,1,1,
"vfwredusum.vs vd, vs2, vs1, vm # Unordered sum",,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,vfwredusum.vs,0xc4001057,0xfc00707f,1,1,
"vmand.mm vd, vs2, vs1 # vd.mask[i] = vs2.mask[i] && vs1.mask[i]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vmand.mm,0x66002057,0xfe00707f,1,1,
"vmnand.mm vd, vs2, vs1 # vd.mask[i] = !(vs2.mask[i] && vs1.mask[i])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vmnand.mm,0x76002057,0xfe00707f,1,1,
"vmandn.mm vd, vs2, vs1 # vd.mask[i] = vs2.mask[i] && !vs1.mask[i]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vmandn.mm,0x62002057,0xfe00707f,1,1,
"vmxor.mm vd, vs2, vs1 # vd.mask[i] = vs2.mask[i] ^^ vs1.mask[i]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vmxor.mm,0x6e002057,0xfe00707f,1,1,
"vmor.mm vd, vs2, vs1 # vd.mask[i] = vs2.mask[i] || vs1.mask[i]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vmor.mm,0x6a002057,0xfe00707f,1,1,
"vmnor.mm vd, vs2, vs1 # vd.mask[i] = !(vs2.mask[i] || vs1.mask[i])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vmnor.mm,0x7a002057,0xfe00707f,1,1,
"vmorn.mm vd, vs2, vs1 # vd.mask[i] = vs2.mask[i] || !vs1.mask[i]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vmorn.mm,0x72002057,0xfe00707f,1,1,
"vmxnor.mm vd, vs2, vs1 # vd.mask[i] = !(vs2.mask[i] ^^ vs1.mask[i])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vmxnor.mm,0x7e002057,0xfe00707f,1,1,
"vcpop.m rd, vs2, vm",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vcpop.m,0x40082057,0xfc0ff07f,1,0,
"vfirst.m rd, vs2, vm",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vfirst.m,0x4008a057,0xfc0ff07f,1,0,
"vmsbf.m vd, vs2, vm",,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,vmsbf.m,0x5000a057,0xfc0ff07f,1,0,
"vmsif.m vd, vs2, vm",,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,vmsif.m,0x5001a057,0xfc0ff07f,1,0,
"vmsof.m vd, vs2, vm",,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,vmsof.m,0x50012057,0xfc0ff07f,1,0,
"viota.m vd, vs2, vm",,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,viota.m,0x50082057,0xfc0ff07f,1,0,
"vid.v vd, vm # Write element ID to destination",,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vid.v,0x5008a057,0xfdfff07f,0,0,
"vmv.x.s rd, vs2 # x[rd] = vs2[0] (vs1=0)",1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vmv.x.s,0x42002057,0xfe0ff07f,1,1,
"vmv.s.x vd, rs1 # vd[0] = x[rs1] (vs2=0)",1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vmv.s.x,0x42006057,0xfff0707f,1,0,
"vfmv.f.s rd, vs2 # f[rd] = vs2[0] (rs1=0)",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vfmv.f.s,0x42001057,0xfe0ff07f,1,0,
"vfmv.s.f vd, rs1 # vd[0] = f[rs1] (vs2=0)",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vfmv.s.f,0x42005057,0xfff0707f,1,0,
"vslideup.vx vd, vs2, rs1, vm # vd[i+rs1] = vs2[i]",,1,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,vslideup.vx,0x38004057,0xfc00707f,1,0,
"vslideup.vi vd, vs2, uimm, vm # vd[i+uimm] = vs2[i]",,1,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,vslideup.vi,0x38003057,0xfc00707f,1,0,
"vslidedown.vx vd, vs2, rs1, vm # vd[i] = vs2[i+rs1]",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vslidedown.vx,0x3c004057,0xfc00707f,1,0,
"vslidedown.vi vd, vs2, uimm, vm # vd[i] = vs2[i+uimm]",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vslidedown.vi,0x3c003057,0xfc00707f,1,0,
"vslide1up.vx vd, vs2, rs1, vm # vd[0]=x[rs1], vd[i+1] = vs2[i]",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,vslide1up.vx,0x38006057,0xfc00707f,1,0,
"vfslide1up.vf vd, vs2, rs1, vm # vd[0]=f[rs1], vd[i+1] = vs2[i]",,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,4,vfslide1up.vf,0x38005057,0xfc00707f,1,0,
"vslide1down.vx vd, vs2, rs1, vm # vd[i] = vs2[i+1], vd[vl-1]=x[rs1]",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vslide1down.vx,0x3c006057,0xfc00707f,1,0,
"vfslide1down.vf vd, vs2, rs1, vm # vd[i] = vs2[i+1], vd[vl-1]=f[rs1]",,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,vfslide1down.vf,0x3c005057,0xfc00707f,1,0,
"vrgather.vv vd, vs2, vs1, vm # vd[i] = (vs1[i] >= VLMAX) ? 0 : vs2[vs1[i]];",,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,4,vrgather.vv,0x30000057,0xfc00707f,1,1,
"vrgatherei16.vv vd, vs2, vs1, vm # vd[i] = (vs1[i] >= VLMAX) ? 0 : vs2[vs1[i]];",,1,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,5,vrgatherei16.vv,0x38000057,0xfc00707f,1,1,
"vrgather.vx vd, vs2, rs1, vm # vd[i] = (x[rs1] >= VLMAX) ? 0 : vs2[x[rs1]]",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,vrgather.vx,0x30004057,0xfc00707f,1,0,
"vrgather.vi vd, vs2, uimm, vm # vd[i] = (uimm >= VLMAX) ? 0 : vs2[uimm]",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,vrgather.vi,0x30003057,0xfc00707f,1,0,
"vcompress.vm vd, vs2, vs1",,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,4,vcompress.vm,0x5e002057,0xfe00707f,1,1,
"vmv1r.v vd, vs2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,vmv1r.v,0x9e003057,0xfe0ff07f,1,0,no
"vmv2r.v vd, vs2",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,3,vmv2r.v,0x9e00b057,0xfe0ff07f,1,0,no
"vmv4r.v vd, vs2",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,3,vmv4r.v,0x9e01b057,0xfe0ff07f,1,0,no
"vmv8r.v vd, vs2",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,3,vmv8r.v,0x9e03b057,0xfe0ff07f,1,0,no
"vandn.vv vd, vs2, vs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,vandn.vv,0x4000057,0xfc00707f,1,1,
"vandn.vx vd, vs2, rs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vandn.vx,0x4004057,0xfc00707f,1,0,
"vbrev.v vd, vs2, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vbrev.v,0x48052057,0xfc0ff07f,1,0,
"vbrev8.v vd, vs2, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vbrev8.v,0x48042057,0xfc0ff07f,1,0,
"vclz.v vd, vs2, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vclz.v,0x48062057,0xfc0ff07f,1,0,
"vrev8.v vd, vs2, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vrev8.v,0x4804a057,0xfc0ff07f,1,0,
"vrol.vv vd, vs2, vs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,vrol.vv,0x54000057,0xfc00707f,1,1,
"vrol.vx vd, vs2, rs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vrol.vx,0x54004057,0xfc00707f,1,0,
"vror.vv vd, vs2, vs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,vror.vv,0x50000057,0xfc00707f,1,1,
