flavors,vm !=1(trap),vm==0时vd==0(trap),vstart !=0(trap),不支持的sew,,,,不支持的lmul,,,,,,,reg index对齐,,,,,,,,,,,,,,,,,,,,,if(lmul<1) overlap($); else overlap_widen($),,"if($<1) overlap(vd,lmul,vs2,$); else overlap_widen((vd,lmul,vs2,$)",,,reg index不相等,,,,,其他,,,,,index load,1/8 <= emul <=8(emul=lmul*eew/sew),,no_constraint,instr,match,mask,has_vs2,has_vs1,is_ready
,,,,8,16,32,64,1/8,1/4,1/2,1,2,4,8,"align(vd,lmul)","align(vd,lmul*2)","align(vd,emul)","align(vs2,lmul)","align(vs2,emul)","align(vs2,lmul*2)","align(vs2,lmul/2)","align(vs2,lmul/4)","align(vs2,lmul/8)","align(vs1,lmul)","align(vs1,emul)","align(vd,2)","align(vd,4)","align(vd,8)","align(vs2,2)","align(vs2,4)","align(vs2,8)","align(vs3,2)","align(vs3,4)","align(vs3,8)","align(vs3,nfield)","(vd, lmul*2, vs2, lmul)","(vd, lmul*2, vs1, lmul)",lmul/2,lmul/4,lmul/8,vd != vs2,vd != vs2 && vd != vs1,"if(vd != vs2)overlap(vd,1,vs2,lmul)","if(vd != vs2)overlap(vd,1,vs2,lmul*2)","if(vd != vs1)overlap(vd,1,vs1,lmul)",vm==0 && vd==0 && lmul>1(trap),"overlap(vd,lmul,vs2,1)","overlap(vd,lmul,vs1,1)","overlap(vd,lmul,vs1,emul)",(nf*emul <= 8) && (vd+nf*emul <= 32),所有约束,eew=16,eew=width,134,instr,match,mask,,,
"vor.vi vd, vs2, imm, vm",,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vor.vi,0x28003057,0xfc00707f,1,0,
"vxor.vv vd, vs2, vs1, vm",,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vxor.vv,0x2c000057,0xfc00707f,1,1,
"vxor.vx vd, vs2, rs1, vm",,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vxor.vx,0x2c004057,0xfc00707f,1,0,
"vxor.vi vd, vs2, imm, vm",,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vxor.vi,0x2c003057,0xfc00707f,1,0,
"vsll.vv vd, vs2, vs1, vm",,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vsll.vv,0x94000057,0xfc00707f,1,1,
"vsll.vx vd, vs2, rs1, vm",,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vsll.vx,0x94004057,0xfc00707f,1,0,
"vsll.vi vd, vs2, uimm, vm",,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vsll.vi,0x94003057,0xfc00707f,1,0,
"vsrl.vv vd, vs2, vs1, vm",,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vsrl.vv,0xa0000057,0xfc00707f,1,1,
"vsrl.vx vd, vs2, rs1, vm",,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vsrl.vx,0xa0004057,0xfc00707f,1,0,
"vsrl.vi vd, vs2, uimm, vm",,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vsrl.vi,0xa0003057,0xfc00707f,1,0,
